ID    NOME_PROG       MOTIVO               ESTADO_ANT   ESTADO_NOVO  TABELA_PAGINAS
3     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,1,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
3     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,1,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
1     fatorialV2      Fim_E/S_Console      BLOQUEADO    PRONTO       { [0,3,mp], [1,0,mp] }
3     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,1,mp] }
1     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,3,mp], [1,0,mp] }
1     fatorialV2      finalizacao          EXECUTANDO   TERMINADO    { [0,3,mp], [1,0,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
3     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,1,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
3     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,1,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
3     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,1,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
3     fatorialV2      fatia_tempo          EXECUTANDO   PRONTO       { [0,2,mp], [1,1,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
3     fatorialV2      E/S_Console          EXECUTANDO   BLOQUEADO    { [0,2,mp], [1,1,mp] }
3     fatorialV2      Fim_E/S_Console      BLOQUEADO    PRONTO       { [0,2,mp], [1,1,mp] }
3     fatorialV2      escalonador          PRONTO       EXECUTANDO   { [0,2,mp], [1,1,mp] }
3     fatorialV2      finalizacao          EXECUTANDO   TERMINADO    { [0,2,mp], [1,1,mp] }
